platform,merchant,product_name,price,url
taobao,欧美嘉食品商行,慕尼黑白肠熏煮德式烧肠烧烤香肠MUNICH FLAVOR WHITE SAUSAGES,29.0,https://item.taobao.com/item.htm?id=717946451476&ns=1&abbucket=11#detail
taobao,克娜克德式香肠企业店,克娜克Knacker慕尼黑白肠德式肉肠德国巴伐利亚香肠水煮早餐肠,72.0,https://item.taobao.com/item.htm?id=703138815423&ns=1&abbucket=11#detail
taobao,leoの咖啡,ISU意口艺脍慕尼黑白香肠法兰克福维也纳德式早餐意华脆皮热狗肠,28.0,https://item.taobao.com/item.htm?id=759378103827&ns=1&abbucket=11#detail
taobao,美食猎人,意华ISU慕尼黑白肠300g1kg德国风味烤肠 德式白香肠 巴伐利亚风味,38.0,https://item.taobao.com/item.htm?id=613924428480&ns=1&abbucket=11#detail
taobao,辉隆食品贸易,意华ISU慕尼黑白肠300g1kg德国风味烤肠 德式白香肠 巴伐利亚风味,38.0,https://item.taobao.com/item.htm?id=603722727881&ns=1&abbucket=11#detail
taobao,克娜克德式香肠企业店,克娜克Knacker德式煎盘肠无淀粉肉肠德国蜗牛肠小香肠圈圈肠西餐,78.0,https://item.taobao.com/item.htm?id=703124410988&ns=1&abbucket=11#detail
taobao,杭州雨润食品,欧瑞思2KG罗勒叶香肠罗列叶香肠德式香肠烧烤香肠油煎香肠西餐肠,100.0,https://item.taobao.com/item.htm?id=633660725541&ns=1&abbucket=11#detail
taobao,Charlie进口食品2,HALAL WHTE SAUSAGE 500g 清真德国风味慕尼黑白香肠包邮,42.0,https://item.taobao.com/item.htm?id=711460363168&ns=1&abbucket=11#detail
taobao,美食猎人,Beretta罗勒叶香肠300gbasilsausage德国风味火山石烤肠早餐肉肠,18.9,https://item.taobao.com/item.htm?id=623386294425&ns=1&abbucket=11#detail
taobao,杭州雨润食品,欧瑞思2KG慕尼黑白肠德式风味香肠烧烤香肠油煎香肠酒店西餐食材,100.0,https://item.taobao.com/item.htm?id=638930714632&ns=1&abbucket=11#detail
tmall,荣锦本味旗舰店,荣锦本味小条曲奇原味 咖啡味手工饼干礼盒包装不含防腐剂香精,52.8,https://click.simba.taobao.com/cc_im?p=%B5%A4%C2%F3%C4%BD%C4%E1%BA%DA%B0%D7%B3%A6&s=448651832&k=1101&e=XfLYgw7t5ZyzGgKLBGH4o2uukpMAsVwKGVJLS5NIRlwO0pfNUfYnB2N6SttVnno8qFiJIdywLpyLnKiv9HHpNUQ1U026ZSs4jl04YdSL2%2Byhm8MfPWj4bE9CYFRDNas1BqQX8UecPIbLuhwvTs9mImU%2BcZHD%2BrmCpwgGS3tOYGxnvsgVs9n1lDSiadoW5XFgP5sgCpWM1lyF62gU7%2F0TIFq%2BYDcvp0vU9FJzi505Y25kE%2FOkl6r5vs%2BBE2mqJzEVKICmxBZXaXA7fxRsV3EkLqPIwIrlYPuHIY7kdgzYTUOr355daJ3KFWKMGOcWm%2FrqkpDzL8uLnKhLQCZF9TOjk8aPCGjKlVAFTQv4wcZOch0aClVfk0WEQcB2fEQfc%2FuLg1TUQFGJLDqE6%2FHVds5CKyNYzOkMfd485MK2jCGq7gKI3wgtmSnG%2Bvdsi3onPpl0IHqf5qkIxkY3nPx9g2tzF%2Bd5OosM4pIUyFHD%2B%2BiXgfFg5AR1%2F6drvsSXjY3CyFlnEZV4vxmV9OQ2IJSjCX6VjTYwKORFFa2VRN5HsaPh1S46%2BQkMrG%2FT0TWtMJz4kpAW9mJY623qFV%2Fh87xTkWiwpU%2BWcY9%2BXHUIWOp9KCq0etZlaTD92QWlVyyAPCtXeO6gOW66b%2FlWfCd8WflYl8fMbU%2FBUYPHLTPpwCQAUCYZag2aZOzlwHHV4palIq2QUvTp23WVPga5vJOfcAEbtjr02M3wSftM%2B8gzqzKtx5WPZbvV2i43oH6px9Lqbv7bPkhsGWvJchaYc2bYWwyiOOuq9tos91ntqq6LHso6sV4FqBYvgr7S1rGg3L%2BIlvp8Od%2B9RuLmXIcPIQ9OynLvvsLS%2BXZl68m4qo2AueGmyEUXrC2CBK4lTEv6YehAkdLEk%2BWnYaNNv8T6Es2V1uLwnlV5ngRSXRGWA4RLwBl8xy2b7TCKS1d6QcxtUktAJkX1M6OTLf%2FvG67LKFN2X4axRRytXg8TakFZa9EWgyOAnqO4InheYeLW4mmB5ltpT4l2mR%2BwAecmFgpll2LiJn%2B%2F%2B0WC7cY9gXHdyrvY3lYFRIWSg08UTCEM41H8j%2BeeSmB%2FQ1s2cNk5AlXcyoM%3D
tmall,金珠旗舰店,金珠金华香肠400g无淀粉广式腊肠广味香肠特产传统风味灌装农家味,38.9,https://click.simba.taobao.com/cc_im?p=%B5%A4%C2%F3%C4%BD%C4%E1%BA%DA%B0%D7%B3%A6&s=448651832&k=1145&e=TWSlQo4GcPCzGgKLBGH4o2uukpMAsVwKGVJLS5NIRlwO0pfNUfYnB2N6SttVnno8qFiJIdywLpxwHQo77NfkQV9EdUHUt8Kdjl04YdSL2%2Byhm8MfPWj4bE9CYFRDNas1BqQX8UecPIbLuhwvTs9mImU%2BcZHD%2BrmCpwgGS3tOYGxnvsgVs9n1lDSiadoW5XFgP5sgCpWM1lyF62gU7%2F0TIFq%2BYDcvp0vU9FJzi505Y26dbE5%2FQP3xkgMAqfNFS%2BmoDSWMDMaQhWoPFhGwnfBlxlS0MMW5TunBgfk5CskfL6WNA1kCnbKKyQQXujELaqP2eFjMHwcsvsZ%2BUWvY18K%2FUrMjnenYahnMZ5FPObnO02thmL9SqDfNhJW0DRJiq4gLkon1zctk6gBARj8OFx8hTotFUo9Ecj%2FThkE%2Bj3qIedMkX9zzR%2FFOWR%2BtGdwIF%2Fbrq0cp%2FKE4gRtJtNtyt8iLsJy8ztGGzOnAivx4HDQ7yTeV4rHshKRlVt5mkSIJxCeolrc2B9n6OyjecQBN2%2BGwsxs0Kg1GiMdu2yD66ieK6q1J6l4HfEuvl5U2xOx%2BMbmKsm%2B%2BP2dcmPMPl7KodskFLFXAWagMgyU6u51hlBRc5Kzn%2FCCr5Tk6zDCCL2L9s8uE41f6AVqjb68vURvF6huHmXoKFiv4blm5im5MCg56Fsww5tJP8BHHkGnw%2FcHnLNAw0N%2B5J46N%2BzWqOO2uLWOvelBfSM0DqmAYllc2U8iImvO9LGdHYDhavJ3sf1ciPnbviyAaF9MScqn%2BsHe1fYO5sTni%2F3GQbMXzUZXLTw%2F1nNWYzYqG0saylJ7ZrlJTSP61N5DYYQuCYEa%2FO9uc%2FJ705t2AXq5fmdjrXATtdaPDMBX1O5rtHf%2Fk%2FDJ5O4Pyl8h8cazIgugTP2giQUbcijltWDKpzBZ7SXtEue0UJ3b47DvrLk265HCF07afkQYfFmYbJ24yZmSojS9eX9JAlNsyEErOYz5JKg3dedG%2FioM13vNwBwFBAY%2BZkt85myWvlvhhuh%2FGoyS6E1v3DTULprrlT6fU%2FIyfLU2zc2P07zTFjit3nYnDt405b7ZxaeW1hSnx2zf%2BYUMTSwrtSiOhvwelaxPSWHOID76R7uhsVoT9LRm0RI3692ip4g%3D%3D
tmall,印迹生鲜旗舰店,印迹烤肠纯肉火山石香肠脆皮黑胡椒猪肉地道肉肠热狗空气炸锅食材,56.0,https://click.simba.taobao.com/cc_im?p=%B5%A4%C2%F3%C4%BD%C4%E1%BA%DA%B0%D7%B3%A6&s=448651832&k=1145&e=AKnSm813XdmzGgKLBGH4o2uukpMAsVwKGVJLS5NIRlwO0pfNUfYnB2N6SttVnno8qFiJIdywLpxbICIVd1ZqzRGcYML8cwkkjl04YdSL2%2Byhm8MfPWj4bE9CYFRDNas1BqQX8UecPIbLuhwvTs9mImU%2BcZHD%2BrmCpwgGS3tOYGxnvsgVs9n1lDSiadoW5XFgP5sgCpWM1lyF62gU7%2F0TIFq%2BYDcvp0vU9FJzi505Y25ZrPqy1kUJxM8XQBscLm9mavgDT%2FyU3MYPFhGwnfBlxlS0MMW5TunBgfk5CskfL6WNA1kCnbKKyQQXujELaqP2eFjMHwcsvsYn%2FA1mQ8L9FW9Lo%2BnsqlXTkH4bgaNVaUp1f8Kk2WENyFVlj2egciS%2BUF21JvdUWwrr2xHil2uckBlQAB80VwZIRqQbYrT9FgUkX9zzR%2FFOWR%2BtGdwIF%2Fbrq0cp%2FKE4gRtJtNtyt8iLsJy8ztGGzOnA095%2B4CBZF7gG%2BSE427z%2BMd5mkSIJxCeob6eN4xV9DWv0UXKveRD0HQn%2FPh8LjNXz2yD66ieK6q2gvj%2BdI24NUxnzIlmQb%2BNEsm%2B%2BP2dcmPMPl7KodskFLFXAWagMgyU6VNFer7SA4OhIpKXuzaUKqQolAoz89nc341f6AVqjb69eAnuGv66sBLzJFXZjXchaim5MCg56FsydlP5FoOtLnan%2F3LOm9zQ0Cpc4OXqha2OqOO2uLWOvelBfSM0DqmAYllc2U8iImvO9LGdHYDhavJ3sf1ciPnbviyAaF9MScqn%2BsHe1fYO5sTni%2F3GQbMXzUZXLTw%2F1nNWYzYqG0saylJ7ZrlJTSP61SyGBXSttspsBpnv6VM7k0t2AXq5fmdjrXATtdaPDMBX1O5rtHf%2Fk%2FDJ5O4Pyl8h8cazIgugTP2giQUbcijltWDKpzBZ7SXtEue0UJ3b47DvrLk265HCF07afkQYfFmYbVqXr7vAi7rHc%2FjSvNSajsiMA6cD4ru023zgIVo786VAdJg34WjRjtW6akhrEnuh6Rvb2vE1A275higrc88bJw6fU%2FIyfLU2zc2P07zTFjit3nYnDt405b7ZxaeW1hSnx2zf%2BYUMTSwrtSiOhvwelaxPSWHOID76R7uhsVoT9LRm0RI3692ip4g%3D%3D
tmall,寻味干货专营店,丹麦皇冠纯香肉肠台式火山石烤肠地道肠慕尼黑白肠图林根风味肠,49.0,https://detail.tmall.com/item.htm?id=708213694390&ns=1&abbucket=11
tmall,欧百德食品旗舰店,德国风味慕尼黑白香肠德式烤肠无淀粉肉肠巴伐利亚早餐肠欧百德,66.6,https://detail.tmall.com/item.htm?id=45340160421&ns=1&abbucket=11
tmall,寻味干货专营店,柏纳夫德国香肠套餐拼盘图林根黑胡椒烤肠肉肠早餐热狗肠德式香肠,84.9,https://detail.tmall.com/item.htm?id=650976481148&ns=1&abbucket=11
tmall,Bahnhof柏纳夫旗舰店,bahnhof/柏纳夫黑松露煎肠纯猪肉480g无添加生酮肠香肠火山石烤肠,108.0,https://detail.tmall.com/item.htm?id=692524254764&ns=1&abbucket=11
tmall,Bahnhof柏纳夫旗舰店,bahnhof/柏纳夫图林根黑胡椒香肠猪肉早餐肠德国式热狗肠烤肠肉肠,99.0,https://detail.tmall.com/item.htm?id=692519778464&ns=1&abbucket=11
tmall,百倍德旗舰店,百倍德德式烤肠1kg/20根图林根香草香肠拼盘德国慕尼黑白肠纽伦堡,77.5,https://detail.tmall.com/item.htm?id=743134531591&ns=1&abbucket=11
tmall,寻味干货专营店,德国慕尼黑香肠白肠1000g*1包猪肉肠德式烤肠风味热狗肠纯烤肉肠,82.9,https://detail.tmall.com/item.htm?id=652425231204&ns=1&abbucket=11
jd,寻味（浙江）生鲜专营店,柏纳夫德国德式香肠肉肠热狗肠烟熏肠烤肠儿童早餐肠西式餐厅酒店商用 慕尼黑白肠260g 京东仓全国就近速发，部分地区当日/次日送达！纯正德国香肠，多种口味任选！,48.0,https://item.jd.com/10067507504331.html
jd,曼切格方便食品店,BERETTA FRATELLI 1812丹麦皇冠香肠350g 西班牙风味烟熏肠图林根蜜糖汉堡烧烤烤肠 300g 百瑞 慕尼黑白肠,33.0,https://item.jd.com/10096350640603.html
jd,克娜克生鲜官方旗舰店,克娜克德式香肠拼盘自由搭配肉肠烤肠图林根烧烤肠辣肠早餐肠德国烤肠 慕尼黑白肠 250g 顺丰冷链快递，甄选德国进口香料，优质食材，黄金肥瘦比一口爆汁，懒人烹饪家庭必备！,48.0,https://item.jd.com/10088852349761.html
jd,寻味（浙江）生鲜专营店,柏纳夫 德国香肠德式肉肠白肠慕尼黑白肠德国白香肠烤肠西餐早餐热狗肠 慕尼黑白肠1kg【顺丰冷链】,149.0,https://item.jd.com/10041919599926.html
jd,凡尚食品专营店,嫩个烧烤香肠350g 肠图林根丹麦皇冠风味汉堡西班牙蜜糖烟熏烤肠 慕尼黑白肠350g,37.05,https://item.jd.com/10094619469756.html
jd,柏纳夫官方旗舰店,柏纳夫（BAHNHOF）德国香肠慕尼黑白肠德式慕尼黑白肠烤肠早餐肠肉肠西餐厅食材商用 慕尼黑白肠1kg【顺丰冷链】,149.0,https://item.jd.com/10077612021782.html
jd,荣泰源食品专营店,柏斯图德发（DEFAzurBIERSTUBE）  慕尼黑白肠480g德式香肠烤肠热狗地道德国风味白肠 慕尼黑白肠480g,128.0,https://item.jd.com/10030522553187.html
jd,那柔柔食品店,xywlkj意华ISU慕尼黑白肠300g1kg风味烤肠 德式白香肠 巴伐利亚风味 300g装 优惠多多,60.8,https://item.jd.com/10083815751782.html
jd,力蓝南北干货店,食芳溢丹麦皇冠西班牙蜜糖慕尼黑风味香肠西餐早餐纯肉热狗汉堡烤肠 慕尼黑风味白肠1盒500g,79.51,https://item.jd.com/10095620721400.html
jd,锦铖食品饮料专营店,颜韵有约1kg 多规格 意华ISU 白肠德国风味 德式白 巴伐利亚风味 慕尼黑式白香肠300g,76.0,https://item.jd.com/10083175936425.html
